firstname,lastname,avg_rating
Robert,Darmody,4.4286
Pamela,Glosson,5
Sydney,Slobodnik,3.25
Lu,Gan,3
Michael,Miller,4.6667
Beverly,Stewart,2
Diana,Ranoa,4.6667
Kevin,Hamilton,4
Jennifer,Burns,5
Ao,Chen,3
Hasan,Ozer,5
Xavier,Stacey,5
Catherine,Lundy,4
Viraj,Kumar,4.8889
Melissa,Weber,4
Julie,Hengst,4
Matthew,Rukgaber,4.6667
Andrew,Parrish,3.6667
Amy,Johnson,2
David,Forsyth,4
Anna,Rinaldi-Miles,2.3333
David,Kesler,4
Piper,Hodson,5
Emilie,Bagby,4
Ilana,Akresh,2
Kathleen,Smith,3
Ari,Pence,5
Blake,Johnson,3
Michael,Ward,4
Mark,Shannon,5
Masab,Garada,5
Joseph,Miles,4.6667
Steve,Kostell,4.3333
Song,Cho,5
Douglas,Jones,4
Laurence,Mall,5
Chayapa,Darayon,4.2
Ellen,Fireman,4.8182
Donald,Briskin,5
Timothy,Stelzer,4.7105
Shelley,Weinberg,3
Timothy,Ellsworth,4.6667
Mark,Rood,3.5
Debra,Reid,2.2
Thomas,Finnegan,4
Paul,Gold,5
Panki,Kim,1.75
Xiaohui,Chen,4.4
William,Sullivan,5
Shirley,Faughn,3.5
Patricia,Watts,4
Marco,Caccamo,3
Helga,Varden,4
Bertrand,Guillou,3.8
Jill,Tschopp,5
Jaehyuk,Kwack,4
Tami,Bond,3
Charles,Schroeder,4.5
Roman,Boulatov,1.5
Jennifer,Kotowski,4
Kathryn,Clancy,3.4706
Arthur,Melnick,3.8
John,Dayger,4
Kindratenko,,3.8333
Robert,Skirvin,4.6667
Petros,Voulgaris,2
Richard,Sowers,4
Margaret,Fleck,3.2143
Jason,Morrissette,4.9333
Evan,Melhado,2
Todd,Doehring,5
Artan,Sheshmani,3
Michael,Stone,2.5
Randy,McCarthy,2.8333
Michael,Giardina,4.5
Negar,Kiyavash,4.5
Ki,Lee,3.75
Atul,Dixit,3.5
Yunjin,Kim,5
James,Barrett,4
Maria,Muyot,3
Michael,Burns,5
Lori,Paden,5
Jerome,Juska,5
Chryle,Elieff,4
Rui,Zhao,2.5
David,Morris,5
Jung,Hyun,4
Melissa,Bowles,4.6
Jang-Mei,Wu,3.3333
Richard,Laugesen,4.5714
Tony,Wong,3
Charles,Voigt,4.5
Joseph,Miles,4.5
Kourtikakis,,5
Annie,Abbott,4.6667
Jason,Vredenburg,4.6
Laxmikant,Kale,3
Charles,Roseman,4
Stefan,Freise,5
Angela,Green,2.5
Philip,Rodkin,4.5
Bruce,Levine,4
Juan,Fung,5
C.,Gunsalus,2.625
Richard,Keane,2.7419
Taghaboni-Dutta,,5
Trina,Wright,3
Ferrando,Valero,4.25
Bethany,Cutts,5
Leininger,,4.8
Scott,Tichenor,2.8
Jean-Pierre,Leburton,2.8571
Robert,Dodds,4.5
Jeffrey,Douglas,5
Emily,Mailey,3.8
Harrison,Kim,3
Jerald,Pataky,3
Deniz,Ay,4
Aditi,Das,5
Jaimi,Goodfriend,2
Nicholas,Lenczycki,3
Serife,Genis,3
Bryce,Dietrich,4
Charles,Fogelman,4
Youfu,Zhao,4
Alfred,Roca,4
Angharad,Valdivia,2
Oscar,Lopez-Pamies,2.1429
Tao,Mei,4.5
Rajagopal,Echambadi,5
David,Sansone,2.7
Michael,Oelze,4
Danielle,Thomas,4
Sonya,Irving,5
Corey,Flournoy,5
Rebecca,Roach,3.0769
Martin,Starzewski,1.5
Georgia,Garcia,1
David,Daum,5
Jonathan,Hamilton,3
Augusto,Espiritu,4
Steven,Hall,4.4773
Robert,McKim,3.3333
David,Yang,4
Henry,Schenck,4.1667
Paul,Kenis,3.75
Ann,Long,3.6667
Noah,Isserman,5
Robert,Murphy,4.0714
Nicholas,Petruzzi,5
Adriana,Molina,4
Ray,Ming,3
Jesse,Rhoades,4
Iker,Plazaola,3
Colin,Wraight,2
Clifford,Singer,2
Peter,Maggs,5
Nancy,Benson,2.5
Thomas,Mitchell,5
Charles,Byrne,5
Karen,Mortensen,4
Cheryl,Shriner,3
Arne,Pearlstein,1.8
Daniel,Schultz,1
N.,Namachchivaya,4.1429
Michael,Schlesinger,2.6
Donna,Brown,3.6
Chu-Yung,Chen,4.1667
Andreas,Cangellaris,5
Sergiy,Merenkov,3
Lisa,Lucero,3
Jon,Thaler,3
Benjamin,Hidalgo,3
Carol,Leff,4
Andrew,Pilny,4.5
Norman,Whitten,4
Sandra,Camargo,1
Curtis,Perry,4.5
Howard,Schein,5
Margaret,Flinn,4
Carol,Ash,1
Yoram,Bresler,4.5
Jennifer,Pollack,5
Matthew,O'Brien,3
Susan,Curtis,2.7059
Kimberly,Koch,5
Chia-Fon,Lee,2
Jordan,Levey,5
Jessica,Chubiz,5
Ely,Kerman,2.6667
Megan,Condis,3
Albert,Man,5
Dennis,Dullea,4
Marilyn,Holguin,4.5
Kenneth,Cuno,4
Anne,Barger,2
Robert,Aherin,4
John,Caughlin,3.7
Dunja,Jelesijevic,5
Andrew,Alleyne,4
Alexander,Duda,3.5
Douglas,Parrett,4.875
Brian,Rosten,3
Paul,Reed,5
Paramita,Mondal,2
Floyd,McKeith,5
Thomas,O'Gorman,4
Russell,Giannetta,1
James,Miller,2.3333
Kimani,Toussaint,5
Maria,Todorova,4.6667
Ryan,Loh,5
Wesley,Cho,2
Ashley,Hetrick,4.8
Anna-Maria,Marshall,5
E.,Love,4.25
Ray,Muhammad,4.3333
Dennis,Beard,5
Nicholas,Kirchner,2.5455
Joseph,Mahoney,5
Glaucio,Paulino,4
Andrew,Moss,3.5
Lynford,Goddard,3.4
Kurt,Bauer,2
Brian,Deal,4
Angelia,Nedich,3.75
Glennys,Mensing,5
Jude,Hays,4
Matthew,Brenner,5
Crystal,Thomas,4
Kevin,Kline,4.6
Mario,Perez,4
Ryan,Galis,5
Amandeep,Gargi,5
Fabio,Manda,5
Tabe,Bergman,3
Ceridwen,Hall,3
Laurie,Johnson,5
Sherrie,Hildreth,4
Matthew,Nohren,5
Shalaurey,Jones,5
Jeffrey,Moore,2.3077
Laura,Brown,4.6
Catherine,Wiesener,5
Eric,Vimr,5
Robert,Wengert,4.75
Michael,Madonick,5
Mohammad,Babadoost,4
Erik,McDuffie,2.5
C.,Henson,5
Jennifer,Oshen,5
Brett,Loman,5
Deana,McDonagh,2.8
Peter,Orlean,3
Luke,Batten,5
Sanja,Koric,5
Rebekah,Gilbert,2.6
Melissa,Orlie,3.375
Mikhail,Lyubansky,4
Wilfred,Donk,4
Matthew,Sherburne,3.3333
James,Lansing,3
Sung,Shin,1
Hyun,Kang,4
Michael,Krassa,3
Daniel,Petrella,4
Polanco,Encarnacion,3
Arindam,Roy,4
John,Trach,2.75
Esther,Heinz,5
Ilia,Kapovitch,4
Roma,Rofes,4
Mark,Fletcher,5
Susan,Martinis,5
Sara,Bordowitz,2
Richard,Weinzierl,4.2
Daniel,Kelly,3
Michael,Leblanc,3
Peter,Garrett,5
Jose,Peralta,4
Xinxin,Feng,3
Carla,Hunter,3
Jan,Brooks,5
Hendricksen,,3.3333
German,Bollero,4.75
Troy,Cooper,4.5
Hannah,Chan,3
B.,Spencer,4.1667
Kevin,O'Leary,5
Fay,Hodza,5
Jennifer,Scott,5
Weimo,Zhu,5
Konstantinos,Travlos,3.3333
Andrew,Chung,5
Peter,Griffin,5
Pratik,Randeria,5
Kenneth,Berg,1
Suhail,Barot,5
Michael,Williams,2
Rachel,Schwartz,5
Rashid,Bashir,5
Rajendra,Jain,3
Robin,Kravets,1.8
Steven,Smith,5
Anthony,Yannarell,3.6667
Lynette,Barnes,2.5
Steven,Luke,5
Kelly,Innes,5
A.,Rayburn,3.8333
Stephen,Notaro,4.6316
Kenneth,Suslick,4.6667
Anshul,Kogar,5
Leslie,Reagan,1.6
Dimitrios,Kyritsis,5
